Legal Name,Borough,Permit Expiration,Status,Age Range,Maximum Capacity,Child Care Type,Date Permitted,Current Date,Years in operations,Violation Rate Percent,Total Educational Workers,Public Health Hazard Violation Rate,Critical Violation Rate,Inspection Date,Regulation Summary,Violation Category,Violation Status,Inspection Summary Result
KIDS RAINBOWLAND NURSERY SCHOOL INC.,QUEENS,9/6/21,Expired-In Renewal,0 YEARS - 2 YEARS,20,Child Care - Infants/Toddlers,9/10/04,4/17/22,17,0,5,0,0,1/25/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
CHURCH IN THE GARDENS COMMUNITY HOUSE,QUEENS,6/25/22,Permitted,2 YEARS - 5 YEARS,62,Child Care - Pre School,6/24/04,4/17/22,17,0,7,0,0,3/23/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
MetroKids Cradle ( South End) Inc,MANHATTAN,10/1/22,Permitted,2 YEARS - 5 YEARS,83,Child Care - Pre School,10/1/18,4/17/22,3,25,12,25,25,3/3/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
BRIGHT BEGINNINGS NYC LLC,MANHATTAN,6/19/22,Permitted,2 YEARS - 5 YEARS,26,Child Care - Pre School,12/23/13,4/17/22,8,37.5,6,0,37.5,2/28/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
CONGREGATION OHEL YITZCHOK,QUEENS,4/28/24,Permitted,2 YEARS - 5 YEARS,70,Child Care - Pre School,10/15/86,4/17/22,35,16.6667,13,16.6667,16.6667,3/10/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
PLYMOUTH CHURCH IN THE CITY OF BROOKLYN,BROOKLYN,1/4/24,Permitted,2 YEARS - 5 YEARS,132,Child Care - Pre School,1/4/06,4/17/22,16,0,28,0,0,1/13/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"TRADITIONAL DAY CARE CENTER, INC.",BROOKLYN,7/20/22,Permitted,2 YEARS - 5 YEARS,59,Child Care - Pre School,7/11/04,4/17/22,17,0,7,0,0,3/22/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
BEGINNINGS NURSERY SCHOOL,MANHATTAN,11/30/23,Permitted,2 YEARS - 5 YEARS,74,Child Care - Pre School,11/30/11,4/17/22,10,16.6667,27,0,16.6667,2/7/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"FANTASM, INC.",BROOKLYN,3/31/22,Expired-In Renewal,2 YEARS - 5 YEARS,53,Child Care - Pre School,3/16/04,4/17/22,18,0,5,0,0,3/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
CHILDREN AT PLAY EARLY INTERVENTION CENTER,STATEN ISLAND,12/28/22,Permitted,2 YEARS - 5 YEARS,24,Child Care - Pre School,12/28/04,4/17/22,17,14.2857,9,0,14.2857,2/1/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"BUBBLE BEES DAYCARE, LLC.",BROOKLYN,3/8/22,Expired-In Renewal,0 YEARS - 2 YEARS,45,Child Care - Infants/Toddlers,3/8/12,4/17/22,10,14.2857,15,14.2857,0,3/17/22,Child care service/camp fails to comply with an Order of the Board or Commissioner of Health and Mental Hygiene.,PUBLIC HEALTH HAZARD,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
"BROOKLYN SCHOOLHOUSE DAYCARE, LLC",BROOKLYN,8/27/23,Permitted,2 YEARS - 5 YEARS,18,Child Care - Pre School,8/27/15,4/17/22,6,0,3,0,0,3/23/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
BEANSPROUTS INC. OF BROOKLYN,BROOKLYN,6/7/22,Permitted,2 YEARS - 5 YEARS,55,Child Care - Pre School,1/30/07,4/17/22,15,16.6667,18,0,16.6667,2/1/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"STEPS TO SUCCESS IV,LLC",STATEN ISLAND,8/20/22,Permitted,2 YEARS - 5 YEARS,88,Child Care - Pre School,8/20/14,4/17/22,7,14.2857,15,14.2857,0,2/15/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"BRIGHT  START CHILD LEARNING CENTER, INC.",QUEENS,8/31/23,Permitted,2 YEARS - 5 YEARS,62,Child Care - Pre School,8/31/15,4/17/22,6,0,8,0,0,3/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
OUR SAVIOUR'S EVANGELICAL LUTHERAN CHURCH,BROOKLYN,4/10/23,Permitted,2 YEARS - 5 YEARS,108,Child Care - Pre School,4/10/05,4/17/22,17,0,16,0,0,1/12/22,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Not Required
HIGHBRIDGE ADVISORY COUNCIL,BRONX,3/24/24,Permitted,2 YEARS - 5 YEARS,90,Child Care - Pre School,3/24/14,4/17/22,8,66.6667,16,33.3333,33.3333,3/10/22,Child care service/camp fails to comply with an Order of the Board or Commissioner of Health and Mental Hygiene.,PUBLIC HEALTH HAZARD,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
JEWISH DAY CARE INC,QUEENS,10/20/22,Permitted,2 YEARS - 5 YEARS,61,Child Care - Pre School,10/20/14,4/17/22,7,42.8571,7,28.5714,42.8571,3/23/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,OPEN,Initial Annual Inspection - Reinspection Not Required
"SHOSTAKOVICH MUSIC, ART AND SPORT SCHOOL INC",BROOKLYN,11/10/22,Permitted,2 YEARS - 5 YEARS,41,Child Care - Pre School,11/10/04,4/17/22,17,0,3,0,0,3/3/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"Kings Bay YM-YWHA, Inc",BROOKLYN,9/6/22,Permitted,0 YEARS - 2 YEARS,10,Child Care - Infants/Toddlers,9/6/16,4/17/22,5,0,3,0,0,3/11/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"COMMUNITY RESOURCES STATEN ISLAND, INC.",STATEN ISLAND,5/16/23,Permitted,2 YEARS - 5 YEARS,81,Child Care - Pre School,9/16/98,4/17/22,23,0,32,0,0,3/31/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
ROOSEVELT ISLAND DAY NURSERY,MANHATTAN,9/24/22,Permitted,2 YEARS - 5 YEARS,15,Child Care - Pre School,9/24/10,4/17/22,11,0,8,0,0,3/3/22,"Plumbing and plumbing fixtures Not properly connected, vented, drained; Not installed and maintained in commercial building",GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Not Required
SESAME SPROUT INC.,QUEENS,6/23/23,Permitted,2 YEARS - 5 YEARS,128,Child Care - Pre School,6/23/15,4/17/22,6,0,24,0,0,3/8/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,OPEN,Initial Annual Inspection - Reinspection Not Required
BROTHERHOOD SYNAGOGUE,MANHATTAN,6/2/22,Permitted,2 YEARS - 5 YEARS,51,Child Care - Pre School,5/27/04,4/17/22,17,16.6667,6,0,16.6667,3/1/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
THE CHURCH OF THE EPIPHANY,MANHATTAN,5/2/23,Permitted,2 YEARS - 5 YEARS,75,Child Care - Pre School,3/7/05,4/17/22,17,0,10,0,0,3/9/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
2495 BROADWAY CENTER LLC,MANHATTAN,7/31/23,Permitted,0 YEARS - 2 YEARS,20,Child Care - Infants/Toddlers,7/31/13,4/17/22,8,0,9,0,0,1/14/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
THE FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERS INC.,BROOKLYN,6/25/23,Permitted,2 YEARS - 5 YEARS,40,Child Care - Pre School,6/25/15,4/17/22,6,20,3,0,20,2/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
CHABAD LUBAVITCH OF WEST BRIGHTON-MANHATTAN BEACH CORP.,BROOKLYN,9/14/22,Permitted,2 YEARS - 5 YEARS,22,Child Care - Pre School,11/23/04,4/17/22,17,0,5,0,0,2/11/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"PARK SLOPE SCHOOLHOUSE CHILD CARE CENTER,INC.",BROOKLYN,5/9/23,Permitted,0 YEARS - 2 YEARS,10,Child Care - Infants/Toddlers,5/9/11,4/17/22,10,25,6,0,25,3/9/22,Fire extinguishers observed Not to be inspected or maintained at time of inspection.,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required
BPOS OF PARK SLOPE CORP,BROOKLYN,9/16/23,Permitted,2 YEARS - 5 YEARS,109,Child Care - Pre School,9/16/15,4/17/22,6,0,33,0,0,3/2/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"BETHANY DAY NURSERY, INC.",MANHATTAN,1/23/22,Expired-In Renewal,2 YEARS - 5 YEARS,60,Child Care - Pre School,1/30/03,4/17/22,19,0,10,0,0,2/16/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
CONGREGATION HABONIM INC.,MANHATTAN,2/6/23,Permitted,2 YEARS - 5 YEARS,60,Child Care - Pre School,2/6/15,4/17/22,7,60,8,20,60,2/14/22,Food protected from cross contamination,CRITICAL,CORRECTED,Initial Annual Inspection - Reinspection Not Required
RIVENDELL SCHOOL,BROOKLYN,10/31/22,Permitted,2 YEARS - 5 YEARS,65,Child Care - Pre School,10/30/06,4/17/22,15,40,8,0,40,1/6/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection
"JACKSON HEIGHTS EARLY LEARNING CENTER ANNEX,INC",QUEENS,1/11/24,Permitted,2 YEARS - 5 YEARS,20,Child Care - Pre School,1/11/08,4/17/22,14,16.6667,2,0,16.6667,3/30/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,OPEN,Initial Annual Inspection - Reinspection Not Required
2495  BROADWAY CENTER LLC,MANHATTAN,1/17/23,Permitted,2 YEARS - 5 YEARS,52,Child Care - Pre School,1/17/17,4/17/22,5,14.2857,14,14.2857,0,2/3/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Not Required
KINDER PREP CHILDCARE INC,BROOKLYN,4/12/23,Permitted,0 YEARS - 2 YEARS,35,Child Care - Infants/Toddlers,4/9/19,4/17/22,3,33.3333,16,16.6667,33.3333,3/22/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
Catholic Church of the Epiphany,MANHATTAN,1/7/23,Permitted,0 YEARS - 2 YEARS,30,Child Care - Infants/Toddlers,1/7/21,4/17/22,1,0,5,0,0,2/2/22,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Not Required
"COLUMBUS TOWNHOUSE NURSERY, INC.",MANHATTAN,6/13/23,Permitted,2 YEARS - 5 YEARS,99,Child Care - Pre School,3/5/03,4/17/22,19,0,20,0,0,2/15/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"STEP AHEAD, LLC.",BROOKLYN,5/2/23,Permitted,0 YEARS - 2 YEARS,18,Child Care - Infants/Toddlers,5/2/07,4/17/22,14,0,8,0,0,1/26/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
MS SUNSHINE INC.,BROOKLYN,12/21/23,Permitted,0 YEARS - 2 YEARS,6,Child Care - Infants/Toddlers,12/21/09,4/17/22,12,0,4,0,0,3/3/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"FIVE STARS CHILD CARE II, INC.",BROOKLYN,6/2/23,Permitted,0 YEARS - 2 YEARS,30,Child Care - Infants/Toddlers,6/2/17,4/17/22,4,0,7,0,0,2/4/22,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Not Required
"Aim High Leadership Center Three, Inc.",QUEENS,8/5/22,Permitted,2 YEARS - 5 YEARS,20,Child Care - Pre School,8/5/16,4/17/22,5,0,3,0,0,3/7/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"EAST HARLEM COUNCIL FOR HUMAN SERVICES,INC.",MANHATTAN,10/26/22,Permitted,2 YEARS - 5 YEARS,160,Child Care - Pre School,10/26/04,4/17/22,17,20,19,0,20,3/15/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"CONSELYEA STREET BLOCK ASSOCIATION, INC.",BROOKLYN,6/3/23,Permitted,2 YEARS - 5 YEARS,156,Child Care - Pre School,2/20/03,4/17/22,19,40,19,0,40,3/15/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
VIP - VERY IMPORTANT PEOPLE II DAY CARE CENTER,QUEENS,3/2/23,Permitted,2 YEARS - 5 YEARS,58,Child Care - Pre School,3/2/07,4/17/22,15,33.3333,4,0,33.3333,1/31/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
LEARNING WHEEL CHILDCARE CORP,BROOKLYN,1/30/23,Permitted,2 YEARS - 5 YEARS,30,Child Care - Pre School,1/30/19,4/17/22,3,14.2857,5,14.2857,14.2857,2/10/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
JEWISH COMMUNITY CENTER OF STATEN ISLAND INCORPORATED,STATEN ISLAND,7/20/22,Permitted,2 YEARS - 5 YEARS,98,Child Care - Pre School,7/19/04,4/17/22,17,25,12,0,25,3/25/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,OPEN,Initial Annual Inspection - Reinspection Not Required
TRIBECA NURSERY CENTER INC,MANHATTAN,1/23/22,Expired-In Renewal,2 YEARS - 5 YEARS,30,Child Care - Pre School,8/14/89,4/17/22,32,0,6,0,0,2/3/22,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Not Required
CLARKE SCHOOL FOR THE DEAF,MANHATTAN,1/8/23,Permitted,2 YEARS - 5 YEARS,59,Child Care - Pre School,11/4/04,4/17/22,17,0,9,0,0,2/15/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
CHANGING TOMORROW CHILD CARE LLC,BROOKLYN,12/18/20,Expired-In Renewal,2 YEARS - 5 YEARS,92,Child Care - Pre School,12/18/18,4/17/22,3,0,8,0,0,3/18/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
SIMCHE KINDER INC.,BROOKLYN,11/27/22,Permitted,2 YEARS - 5 YEARS,52,Child Care - Pre School,11/27/18,4/17/22,3,40,8,20,40,1/4/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection
PLAY TOGETHER LCSW P.C.,MANHATTAN,12/9/22,Permitted,2 YEARS - 5 YEARS,24,Child Care - Pre School,12/9/14,4/17/22,7,33.3333,3,0,33.3333,1/26/22,At time of inspection hand wash sinks are Not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
Hebrew Educational Society of Brooklyn,BROOKLYN,10/31/22,Permitted,2 YEARS - 5 YEARS,111,Child Care - Pre School,8/26/89,4/17/22,32,16.6667,14,16.6667,0,1/19/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"OUR CHILDREN FIRST, INC",BRONX,3/29/23,Permitted,2 YEARS - 5 YEARS,30,Child Care - Pre School,3/29/19,4/17/22,3,50,9,0,50,3/30/22,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
NYC DEPARTMENT OF PARKS AND RECREATION,BRONX,9/15/19,Expired-In Renewal,0 YEARS - 16 YEARS,100,Camp,5/3/13,4/17/22,8,0,0,0,0,3/31/22,Facility egress observed obstructed; Not protected from hazardous areas,PUBLIC HEALTH HAZARD,OPEN,None
"BUSHWICK IMPROVEMENT SOCIETY, INC.",BROOKLYN,2/14/22,Expired-In Renewal,2 YEARS - 5 YEARS,55,Child Care - Pre School,2/4/04,4/17/22,18,0,11,0,0,2/10/22,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,GENERAL,OPEN,None
TOWERS PLAY-N-LEARN INC.,QUEENS,1/10/23,Permitted,2 YEARS - 5 YEARS,18,Child Care - Pre School,1/10/05,4/17/22,17,0,3,0,0,3/15/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
NYSARC INC. NYC CHAPTER,QUEENS,6/18/22,Permitted,2 YEARS - 5 YEARS,83,Child Care - Pre School,6/18/04,4/17/22,17,0,17,0,0,3/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"CHRIST THE KING CONTINUING EDUCATION,INC.",QUEENS,6/25/22,Permitted,2 YEARS - 5 YEARS,173,Child Care - Pre School,6/28/04,4/17/22,17,0,37,0,0,1/5/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
DOWNTOWN LITTLE SCHOOL,MANHATTAN,9/12/23,Permitted,2 YEARS - 5 YEARS,75,Child Care - Pre School,7/29/03,4/17/22,18,20,10,0,20,1/25/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"LAGUARDIA COMMUNITY COLLEGE EARLY CHILDHOOD LEARNING CENTER PROGRAMS, INC",QUEENS,12/28/23,Permitted,2 YEARS - 5 YEARS,84,Child Care - Pre School,12/26/07,4/17/22,14,0,9,0,0,3/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
CONGREGATION OORAH,STATEN ISLAND,10/7/22,Permitted,2 YEARS - 5 YEARS,48,Child Care - Pre School,10/7/10,4/17/22,11,75,11,50,25,2/16/22,Constant and competent supervision provided by adequate staff for children and groups of children,PUBLIC HEALTH HAZARD,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
THE CITY UNIVERSITY OF NEW YORK,BROOKLYN,8/30/22,Permitted,2 YEARS - 5 YEARS,30,Child Care - Pre School,6/30/04,4/17/22,17,0,6,0,0,1/11/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
MID BRONX CCRP ECC INC.,BRONX,12/11/23,Permitted,2 YEARS - 5 YEARS,89,Child Care - Pre School,12/11/19,4/17/22,2,25,4,0,25,3/2/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
Project Social Care Head Start Inc.,BROOKLYN,3/28/23,Permitted,0 YEARS - 2 YEARS,48,Child Care - Infants/Toddlers,3/28/19,4/17/22,3,14.2857,30,0,14.2857,3/3/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"LITTLE ANGEL DAY CARE CENTER VI, INC.",BROOKLYN,8/4/23,Permitted,2 YEARS - 5 YEARS,29,Child Care - Pre School,8/4/09,4/17/22,12,25,4,0,25,2/1/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
PNW Enterprises LLC NY Kids Club,MANHATTAN,1/7/23,Permitted,2 YEARS - 5 YEARS,42,Child Care - Pre School,1/7/21,4/17/22,1,0,4,0,0,2/2/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
CHEER-AND-GROW LEARNING ACADEMY CORP.,BRONX,10/26/23,Permitted,2 YEARS - 5 YEARS,76,Child Care - Pre School,10/26/15,4/17/22,6,0,10,0,0,3/16/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
CONGREGATION B'NAI ISRAEL OF STATEN ISLAND,STATEN ISLAND,2/4/24,Permitted,2 YEARS - 5 YEARS,37,Child Care - Pre School,2/4/08,4/17/22,14,40,11,20,20,2/15/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
BKA OF NY LLC,BROOKLYN,8/4/22,Permitted,2 YEARS - 5 YEARS,87,Child Care - Pre School,8/4/14,4/17/22,7,0,9,0,0,3/21/22,Constant and competent supervision provided by adequate staff for children and groups of children,PUBLIC HEALTH HAZARD,CORRECTED,Monitoring Inspection Non-Routine - Reinspection Required; Fines pending
"YEARLING NURSERY SCHOOL, INC.",BRONX,1/29/23,Permitted,2 YEARS - 5 YEARS,35,Child Care - Pre School,12/14/04,4/17/22,17,75,10,0,75,2/3/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection
SUNFLOWER PLAYHOUSE CORP.,BROOKLYN,4/30/22,Permitted,0 YEARS - 2 YEARS,26,Child Care - Infants/Toddlers,4/30/14,4/17/22,7,66.6667,8,0,66.6667,3/17/22,Fire extinguishers observed Not to be inspected or maintained at time of inspection.,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
YORK COLLEGE CHILD AND FAMILY CENTER INC,QUEENS,4/1/24,Permitted,0 YEARS - 2 YEARS,18,Child Care - Infants/Toddlers,4/1/14,4/17/22,8,16.6667,3,0,16.6667,2/8/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"LITTLE ANGEL DAYCARE CENTER #3, INC.",BROOKLYN,1/9/23,Permitted,2 YEARS - 5 YEARS,56,Child Care - Pre School,5/15/04,4/17/22,17,16.6667,7,16.6667,0,3/23/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection
"BUMBLEBEES-R-US, INC.",BROOKLYN,8/31/22,Permitted,2 YEARS - 5 YEARS,34,Child Care - Pre School,8/31/16,4/17/22,5,28.5714,17,0,28.5714,1/19/22,Exits and other egress Not provided with required signage at time of inspection.,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
JACKSON HEIGHTS EARLY LEARNING CENTER,QUEENS,1/10/23,Permitted,2 YEARS - 5 YEARS,29,Child Care - Pre School,12/23/04,4/17/22,17,33.3333,7,16.6667,16.6667,3/16/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
Seneca Village Montessori Inc.,BROOKLYN,4/6/24,Permitted,2 YEARS - 5 YEARS,40,Child Care - Pre School,4/6/18,4/17/22,4,28.5714,12,0,28.5714,3/10/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"KID KRAZY, INC.",QUEENS,4/1/23,Permitted,2 YEARS - 5 YEARS,20,Child Care - Pre School,4/1/05,4/17/22,17,0,4,0,0,1/19/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
Magen David Yeshivah - Early Childhood Center,BROOKLYN,10/26/23,Permitted,0 YEARS - 2 YEARS,135,Child Care - Infants/Toddlers,10/26/17,4/17/22,4,50,40,16.6667,33.3333,2/10/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection
"QSAC, Inc",BRONX,2/6/24,Permitted,2 YEARS - 5 YEARS,99,Child Care - Pre School,2/6/18,4/17/22,4,33.3333,11,16.6667,16.6667,3/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"BRIGHT HORIZONS CHILDREN'S CENTERS, INC.",MANHATTAN,10/31/22,Permitted,0 YEARS - 2 YEARS,27,Child Care - Infants/Toddlers,10/31/14,4/17/22,7,0,5,0,0,2/15/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
WILSON AVE DAYCARE LLC,BRONX,9/9/23,Permitted,2 YEARS - 5 YEARS,26,Child Care - Pre School,9/9/19,4/17/22,2,0,1,0,0,1/13/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations
THE TRUE DELIVERANCE CHURCH OF OUR LORD & SAVIOUR JESUS CHRIST,QUEENS,6/27/23,Permitted,0 YEARS - 2 YEARS,10,Child Care - Infants/Toddlers,6/25/04,4/17/22,17,0,2,0,0,1/12/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"CHOO CHOO TRAIN DAYCARE, INC",BROOKLYN,1/25/22,Expired-In Renewal,2 YEARS - 5 YEARS,23,Child Care - Pre School,1/24/06,4/17/22,16,0,5,0,0,1/26/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
BIG BIRDS PLAYHOUSE CORP.,STATEN ISLAND,9/14/23,Permitted,0 YEARS - 2 YEARS,18,Child Care - Infants/Toddlers,8/1/04,4/17/22,17,0,6,0,0,2/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"BRONX DAY CARE CENTER, INC.",BRONX,11/18/23,Permitted,2 YEARS - 5 YEARS,50,Child Care - Pre School,11/3/08,4/17/22,13,33.3333,7,0,33.3333,3/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"CORNERSTONE DAY CARE CENTER, INC.",BROOKLYN,7/8/22,Permitted,2 YEARS - 5 YEARS,40,Child Care - Pre School,7/8/04,4/17/22,17,66.6667,10,16.6667,66.6667,1/10/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations
